Date,UAL_Open,UAL_High,UAL_Low,UAL_Close,UAL_Adj Close,UAL_Volume,oil_Close/Last,oil_Volume,oil_Open,oil_High,oil_Low
8/29/18,86.989998,87.440002,86.400002,87.110001,87.110001,1907800,69.51,483736,68.54,69.76,68.37
8/30/18,86.860001,87.589996,86.510002,86.919998,86.919998,1854400,70.25,425788,69.71,70.5,69.55
8/31/18,86.900002,87.669998,86.669998,87.419998,87.419998,3079500,69.8,143477,69.89,70.21,69.53
9/4/18,87.839996,88.839996,87.660004,88.300003,88.300003,3083300,69.87,771579,70.12,71.4,69.08
9/5/18,88.639999,89.080002,86.260002,88.190002,88.190002,4088000,68.72,520989,69.43,69.59,68.56
9/6/18,88.160004,88.440002,86.5,87.129997,87.129997,5633000,67.77,611679,68.64,69.02,67
9/7/18,87.010002,89.480003,86.5,87.68,87.68,2442200,67.75,505215,67.88,68.08,66.86
9/10/18,87.68,88.449997,87.150002,88.089996,88.089996,3205200,67.54,536478,67.82,68.52,67.33
9/11/18,87.959999,89.349998,87.830002,89.120003,89.120003,3513400,69.25,647422,67.53,70.01,67.48
9/12/18,88.900002,89.209999,87.440002,87.800003,87.800003,2467600,70.37,777757,69.89,71.26,69.5
9/13/18,87.980003,90.199997,87.830002,89.580002,89.580002,3571700,68.59,652211,70.24,70.28,68.35
9/14/18,89.739998,90.480003,89.489998,90.330002,90.330002,2448500,68.99,577155,68.79,69.91,67.94
9/17/18,90.5,91.389999,89.940002,90.160004,90.160004,1646300,68.91,403529,68.93,69.72,68.53
9/18/18,89.339996,90.529999,88.650002,90.110001,90.110001,1933600,69.85,214023,68.8,70.42,68.53
9/19/18,90.019997,90.610001,89.18,89.349998,89.349998,2545600,71.12,92303,69.71,71.5,69.65
9/20/18,89.839996,89.919998,88.910004,89.120003,89.120003,2409800,70.8,20406,71.39,71.81,70.73
9/21/18,89.57,90.25,87.110001,89.940002,89.940002,4690400,70.78,836559,70.2,71.8,69.98
9/24/18,89.830002,89.830002,87.029999,87.839996,87.839996,3534900,72.08,555155,71.14,72.74,71.14
9/25/18,87.830002,88.040001,86.82,87.919998,87.919998,2061700,72.28,531833,72.25,72.78,71.89
9/26/18,88.849998,89.459999,88.459999,88.970001,88.970001,2031500,71.57,448076,72.09,72.38,71.47
9/27/18,88.93,89.989998,88.239998,88.339996,88.339996,2156200,72.12,437272,72.01,72.6,71.71
9/28/18,88.330002,89.339996,88.290001,89.059998,89.059998,2091600,73.25,522640,72.18,73.73,71.88
10/1/18,89.290001,89.580002,87.519997,87.610001,87.610001,2459900,75.3,583388,73.29,75.77,72.95
10/2/18,87.239998,87.440002,85.839996,86.709999,86.709999,3210500,75.23,448368,75.42,75.91,74.93
10/3/18,87.019997,87.919998,86.82,87.389999,87.389999,1945400,76.41,682891,75.12,76.9,74.3
10/4/18,87.029999,87.760002,85.519997,86.040001,86.040001,2752000,74.33,667687,76.18,76.47,73.88
10/5/18,86.120003,86.75,84.019997,84.139999,84.139999,4242500,74.34,585282,74.67,75.22,73.83
10/8/18,84,84.489998,82.370003,83.68,83.68,2897300,74.29,525086,74.4,74.58,73.07
10/9/18,83.709999,84.410004,81.279999,81.43,81.43,4287300,74.96,596153,74.21,75.28,74
10/10/18,82.800003,82.800003,78.870003,78.93,78.93,5573800,73.17,621486,74.66,75.08,72.38
10/11/18,81.089996,81.980003,78.93,80.120003,80.120003,5567600,70.97,747249,72.68,72.76,70.51
10/12/18,81.309998,81.470001,79.330002,80.18,80.18,2870700,71.34,613269,70.99,72.01,70.64
10/15/18,80.400002,81.949997,80.099998,81.339996,81.339996,3512600,71.78,550494,71.85,72.7,70.85
10/16/18,81.599998,84.209999,81.230003,83.519997,83.519997,4965800,71.92,513070,71.72,72.29,71.02
10/17/18,88.019997,89.480003,86.160004,88.489998,88.489998,10329500,69.75,630978,72.17,72.43,69.43
10/18/18,89,89.610001,86.519997,87.089996,87.089996,4979800,68.65,199036,70.03,70.03,68.47
10/19/18,87.260002,88.830002,87.019997,87.43,87.43,4582700,69.12,70005,68.68,69.77,68.56
10/22/18,87.839996,89.230003,87.339996,88.610001,88.610001,3820100,69.17,16209,69.41,69.65,68.27
10/23/18,87.019997,87.610001,84.440002,86.330002,86.330002,5809000,66.43,827457,69.55,69.66,65.74
10/24/18,86.07,86.709999,81.919998,82.190002,82.190002,5220800,66.82,751582,66.17,67.72,66.05
10/25/18,82.690002,86.269997,82.480003,85.599998,85.599998,4328600,67.33,553482,66.36,67.65,65.99
10/26/18,84.099998,85.580002,82.839996,84.629997,84.629997,3364300,67.59,581894,66.95,67.88,66.2
10/29/18,85.980003,86.949997,83.919998,84.989998,84.989998,3902000,67.04,463531,67.55,67.95,66.29
10/30/18,84.379997,86.25,84.379997,85.849998,85.849998,4363200,66.18,657444,66.68,67.26,65.33
10/31/18,87.25,87.699997,85.370003,85.510002,85.510002,3796500,65.31,647230,66.32,67,64.81
11/1/18,85.620003,88.470001,85.620003,88.040001,88.040001,3398900,63.69,770628,64.88,65.39,63.11
11/2/18,88.470001,90.279999,88.010002,88.68,88.68,3335900,63.14,682928,63.5,63.95,62.63
11/5/18,88.980003,89.82,88.279999,89.470001,89.470001,2735500,63.1,583392,62.99,64.14,62.52
11/6/18,90,90.25,88.830002,89.639999,89.639999,2187400,62.21,735088,62.7,63.32,61.31
11/7/18,90.220001,92.330002,89.650002,92.160004,92.160004,3792200,61.67,831806,61.74,63.18,61.2
11/8/18,92.089996,92.849998,91.529999,92.559998,92.559998,2460300,60.67,720850,61.64,62.42,60.4
11/9/18,92.410004,93.599998,91.739998,92.349998,92.349998,4254100,60.19,790525,60.75,60.79,59.26
11/12/18,92.360001,92.690002,91.029999,91.199997,91.199997,2903200,59.93,760276,60.7,61.28,58.68
11/13/18,91.629997,93.379997,91.629997,92.599998,92.599998,3696600,55.69,1055720,58.88,59.35,54.75
11/14/18,93.029999,93.470001,91.379997,91.790001,91.790001,2387000,56.25,802420,55.27,57.37,55.13
11/15/18,91.400002,92.660004,89.019997,91.980003,91.980003,3691500,56.46,229899,56.02,57.26,55.59
11/16/18,91.839996,92.599998,90.07,92.260002,92.260002,2837900,56.46,106913,56.58,57.96,55.89
11/19/18,92.32,92.949997,91.160004,92.089996,92.089996,2684600,56.76,24168,56.72,57.33,55.08
11/20/18,91.199997,92.790001,90.449997,91.769997,91.769997,3232500,53.43,962490,57.39,57.44,52.77
11/21/18,91.919998,93.379997,91.82,92.860001,92.860001,3771600,54.63,268080,54.66,54.82,53.52
11/23/18,93.269997,95.080002,92.790001,94.839996,94.839996,2688700,50.42,990480,53.87,54.82,50.15
11/26/18,95.559998,95.809998,91.730003,91.75,91.75,4244700,51.63,635223,50.62,52.25,50.1
